number, first, last, party, 1-vPrezFirst, 1-vPrezLast, 2-vPrezFirst, 2-vPrezLast, 3-vPrezFirst, 3-vPrezLast, startYr, endYr,born,died,stateBorn,spouse1,spouse2,spouse3,religion,education,occupation,nickName,1-mainOppFirst,1-mainOppLast,1-mainOppVPFirst,1-mainOppVPLast,2-mainOppFirst,2-mainOppLast,2-mainOppVPFirst,2-mainOppVPLast,3-mainOppFirst,3-mainOppLast,3-mainOppVPFirst,3-mainOppVPLast,deathCause,assissinationAttempt,attemptSuccessful,whoAttempted
25, William, Mckinley,Republican, Garret, Hobart, Theodore, Roosevelt,, ,1897,1901,1-29-1843,9/14/1901,Ohio,Ida,,,Methodist,Allegheny College,Lawyer,Idol of Ohio,William,Bryan,Arthur,Sewall,William,Bryan,Adlai,Stevenson,,,,,gunshot wound gangrene,TRUE,TRUE,Leon Czolgosz
26, Theodore, Roosevelt,Republican, Charles, Fairbanks, , ,, ,1901,1909,10-27-1858,1/6/1919,New York,Alice,Edith,,Dutch Reformed,Harvard,Lawyer,Teddy,Alton,Parker,Charles,Fairbanks,,,,,,,,,coronary occlusion,TRUE,FALSE,John Flammang Schrank
27, William, Taft,Republican, James, Sherman, , ,, ,1909,1913,9-15-1857,3/8/1930,Ohio,Helen,,,Unitarian,Cincinnati Law School,Lawyer,none,William,Bryan,John,Kern,,,,,,,,,heart disease,TRUE,FALSE,unnamed
28, Woodrow, Wilson,Democratic, Thomas, Marshall, , ,, ,1913,1921,12-28-1856,2/3/1924,Virginia,Ellen,Edith,,Presbyterian,College of New Jersey,Teacher,Schoolmaster in Politics,Charles,Hughes,Charles,Fairbanks,Theodore,Roosevelt,Hiram,Johnson,,,,,apoplexy,,,
29, Warren, Harding,Republican, Calvin, Coolidge, , ,, ,1921,1923,11-2-1865,8/2/1923,Ohio,Florence,,,Baptist,Ohio Central College,Editor-Publisher,none,James,Cox,Franklin,Roosevelt,,,,,,,,,heart failure,,,
30, Calvin, Coolidge,Republican, Charles, Dawes, , ,, ,1923,1929,7-4-1872,1/5/1933,Vermont,Grace,,,Congregationalist,Amherst College,Lawyer,Silent Cal,John,Davis,Charles,Bryan,,,,,,,,,heart attack,,,
31, Herbert, Hoover,Republican, Charles, Curtis,,,, ,1929,1933,8-10-1874,20-Oct,Iowa,Lou,,,Quaker,Stanford University,Engineer,none,Alfred,Smith,Joseph,Robinson,,,,,,,,,internal hemorrhage,TRUE,FALSE,Severino Di Giovanni
32, Franklin, Roosevelt,Democratic, John, Garner, Henry, Wallace,Harry, Truman,1933,1945,1-30-1882,4/12/1945,New York,Anna Eleanor,,,Episcopalian,Harvard,Lawyer,FDR,Alfred,Landon,Frank,Knox,Wendell,Wilkie,Charles,McNary,Thomas,Dewey,John,Bricker,stroke,TRUE,FALSE,Giuseppe Zangara
33, Harry, Truman,Democratic, Alben, Barkley, , ,, ,1945,1953,5-8-1884,12/26/1972,Missouri,"Elizabeth ""Bess""",,,Baptist,University of Kansas City,Farmer,Giv 'Em Hell Harry,Thomas,Dewey,Earl,Warren,,,,,,,,,cardiovascular system collapse,TRUE,FALSE,Oscar Collazo and Griselio Torresola
34, Dwight, Eisenhower,Republican, Richard, Nixon, , ,, ,1953,1961,10-14-1890,3/28/1969,Texas,"Mary ""Mamie""",,,Presbyterian,West Point,Soldier,Ike,Adlai,Stevenson,John,Sparkman,Adlai,Stevenson,Estes,Kefauver,,,,,heart failure,,,
35, John, Kennedy,Democratic, Lyndon, Johnson, , ,, ,1961,1963,5/29/1917,11/22/1963,Massachusetts,Jacqueline,,,Catholic,Harvard,Public Official,JFK,Richard,Nixon,Henry,Lodge,,,,,,,,,gunshot wound,TRUE,TRUE,Lee Harvey Oswald
36, Lyndon, Johnson,Democratic, Hubert, Humphrey, , ,, ,1963,1969,8/27/1908,1/22/1973,Texas,"Calaudia ""Lady Bird""",,,Disciples of Christ,Southwest Texas State Teachers College,Teacher,LBJ,Barry,Goldwater,William,Miller,,,,,,,,,heart attack,,,
37, Richard, Nixon,Republican, Spiro, Agnew, Gerald, Ford,, ,1969,1974,1/9/1913,4/22/1994,California,"Thelma ""Patricia""",,,Quaker,Duke University Law School,Lawyer,none,Hubert,Humphrey,Edmund,Muskie,George,McGovern,R Sargent,Shriver,,,,,stroke,TRUE,FALSE,"Arthur Bremer, Samuel Byck"
38, Gerald, Ford,Republican, Nelson, Rockefeller, , ,, ,1974,1977,7/14/1913,12/26/2006,Nebraska,"Elizabeth ""Betty""",,,Episcopalian,Yale,Lawyer,Jerry,,,,,,,,,,,,,cerebrovascular disease,TRUE,FALSE,"Lynette Fromme, Sara Jane Moore"
39, James, Carter,Democratic, Walter, Mondale, , ,, ,1977,1981,10/1/1924,,Georgia,Eleanor Rosalynn,,,Baptist,US Naval Academy,Farmer,Jimmy,Gerald,Ford,Bob,Dole,,,,,,,,,,TRUE,FALSE,Raymond Lee Harvey
40, Ronald, Reagan,Republican, George, Bush, , ,, ,1981,1989,2/6/1911,6/5/2004,Illinois,Jane,Nancy,,Disciples of Christ,Eureka College,Actor,The Gipper,Jimmy,Carter,Walter,Mondale,Walter,Mondale,Geraldine,Ferraro,,,,,Alzheimer's disease,TRUE,FALSE,John Hinckley Jr
41, George, Bush,Republican, J Danforth, Quayle, , ,, ,1989,1993,6/12/1924,11/30/2018,Massachusetts,Barbara,,,Episcopalian,Yale,Businessman,Poppy,Michael,Dukakis,Lloyd,Bentsen,,,,,,,,,,TRUE,FALSE,Iraqi Intelligence Service
42, William, Clinton,Democratic, Albert, Gore, , ,, ,1993,2001,8/19/1946,,Arkansas,Hillary,,,Baptist,Yale ,Lawyer,Bill,George,Bush,J Danforth,Quayle,Bob,Dole,Jack,Kemp,,,,,,TRUE,FALSE,"Frank Eugene Corder, Francisco Martin Duran, Osama bin Laden"
43, George W, Bush,Republican, Richard, Cheney, , ,, ,2001,2009,7/6/1946,,Connecticut,Laura,,,Methodist,Harvard,Businessman,GW,Al,Gore,Joe,Lieberman,John Quincy,Kerry,John,Edwards,,,,,,TRUE,FALSE,Vladimir Arutyunian
44, Barack, Obama,Democratic, Joe, Biden, , ,, ,2009,2017,8/4/1961,,Hawaii,Michelle,,,United Church of Christ,Harvard,Lawyer,none,John,McCain,Sarah,Palin,Mitt,Romney,Paul,Ryan,,,,,,TRUE,FALSE,"unnamed, and Oscar Ramiro Ortega-Hernandez"
45, Donald, Trump,Republican, Mike, Pence, , ,, ,2017, ,6/14/1946,,New York,Ivana,Marla,Melania,Presbyterian,University of Pennsylvania,Businessman,,Hillary,Clinton,Tim,Kaine,,,,,,,,,,,,
